44	Indiana	B10	18-16	+14.49	116.1	27	101.6	104	68.4	168	-.090	341	+9.11	36	109.6	41	100.5	34	-5.48	310
45	Clemson	ACC	17-16	+14.46	114.9	35	100.5	86	66.4	261	-.064	315	+10.32	27	110.8	16	100.5	31	+2.12	91
46	Maryland 6	B10	24-9	+14.34	113.1	41	98.7	64	67.2	219	+.061	39	+7.74	54	108.3	62	100.6	40	-1.10	188
47	Utah	P12	20-12	+14.20	113.5	40	99.3	72	68.7	142	-.099	342	+3.36	85	106.0	88	102.7	83	-6.19	322
48	VCU 10	A10	26-9	+14.07	110.1	72	96.0	41	68.8	134	+.026	113	+3.65	81	105.8	93	102.2	73	+0.91	128
49	Illinois St.	MVC	28-7	+14.00	107.6	115	93.6	19	64.9	308	+.081	15	+0.99	113	104.5	156	103.5	109	-0.69	173
50	Virginia Tech 9	ACC	22-11	+13.80	117.3	21	103.5	156	68.4	167	+.053	51	+8.23	47	110.0	36	101.7	65	-7.98	342
51	Seton Hall 9	BE	21-12	+13.63	109.4	84	95.8	34	67.5	214	+.058	43	+9.65	31	110.2	29	100.6	37	-2.11	218
52	Houston	Amer	21-11	+13.61	113.5	39	99.9	79	65.4	300	-.032	263	+2.32	95	105.0	128	102.7	87	-3.28	250
53	USC 11	P12	26-10	+13.45	114.2	38	100.7	91	68.7	138	+.079	16	+5.49	71	108.8	54	103.3	106	-3.37	255
54	Nevada 12	MWC	28-7	+13.31	114.6	36	101.3	101	69.7	90	+.055	45	+1.29	105	104.5	155	103.2	104	-1.12	189
55	Syracuse	ACC	19-15	+13.31	115.7	30	102.3	119	66.8	243	-.048	293	+7.20	57	108.3	61	101.1	50	-3.21	248
56	Alabama	SEC	19-15	+13.08	105.3	152	92.2	10	65.1	302	-.055	307	+7.16	58	108.1	65	100.9	46	-1.64	204
57	Tennessee	SEC	16-16	+12.62	110.1	73	97.5	55	69.4	100	-.053	299	+11.20	16	109.3	46	98.1	3	+6.58	29
58	Princeton 12	Ivy	23-7	+12.61	109.0	89	96.4	45	63.2	337	+.007	172	-1.08	157	103.9	187	105.0	144	+2.17	86
59	UNC Wilmington 12	CAA	29-6	+12.46	118.0	19	105.5	193	70.3	67	+.039	76	+0.40	128	105.1	123	104.7	139	+2.17	87
60	Providence 11	BE	20-13	+12.43	108.5	101	96.0	40	66.2	270	+.014	152	+7.90	52	109.1	49	101.2	54	-4.48	287
61	Georgia	SEC	19-15	+12.39	108.7	96	96.3	44	67.1	228	+.015	148	+10.96	20	109.9	37	99.0	10	+4.54	44
62	California	P12	21-13	+12.13	104.9	160	92.7	14	65.7	290	-.012	217	+5.01	75	107.1	76	102.1	71	-2.42	226
63	Vermont 13	AE	29-6	+11.67	111.1	62	99.4	73	64.5	315	+.053	53	-4.42	263	103.0	234	107.4	282	+1.65	112
64	Texas A&M	SEC	16-15	+11.49	108.7	95	97.3	54	64.5	313	-.042	287	+7.97	51	109.4	45	101.5	59	-1.94	215
